_id,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,geometry
1,GO-2004111878,1073106000000,2004,January,3,Saturday,3,D53,Other,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.39282836088456,43.68502644145238,"{""coordinates"": [[-79.3928283609999, 43.685026441]], ""type"": ""MultiPoint""}"
2,GO-2004125755,1073538000000,2004,January,8,Thursday,8,D42,Shooting,142,Woburn North (142),137,Woburn (137),-79.2338520249659,43.78178169646291,"{""coordinates"": [[-79.233852025, 43.781781696]], ""type"": ""MultiPoint""}"
3,GO-2004136086,1073538000000,2004,January,8,Thursday,8,D42,Shooting,146,Malvern East (146),132,Malvern (132),-79.20557418363322,43.810544206016885,"{""coordinates"": [[-79.205574184, 43.810544206]], ""type"": ""MultiPoint""}"
4,GO-2004148623,1075006800000,2004,January,25,Sunday,25,D13,Shooting,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.43438732575322,43.6704670208731,"{""coordinates"": [[-79.434387326, 43.670467021]], ""type"": ""MultiPoint""}"
5,GO-2004148619,1075006800000,2004,January,25,Sunday,25,D42,Shooting,144,Morningside Heights (144),131,Rouge (131),-79.20495811389637,43.822996573235365,"{""coordinates"": [[-79.204958114, 43.8229965730001]], ""type"": ""MultiPoint""}"
6,GO-2004152518,1077253200000,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.50860954401533,43.72085664643957,"{""coordinates"": [[-79.508609544, 43.7208566460001]], ""type"": ""MultiPoint""}"
7,GO-2004152518,1077253200000,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.50860954401533,43.72085664643957,"{""coordinates"": [[-79.508609544, 43.7208566460001]], ""type"": ""MultiPoint""}"
8,GO-2004172092,1077339600000,2004,February,21,Saturday,52,D31,Shooting,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.50897064442438,43.72238194643954,"{""coordinates"": [[-79.508970644, 43.722381946]], ""type"": ""MultiPoint""}"
9,GO-2004133635,1077339600000,2004,February,21,Saturday,52,D23,Other,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.59285006484198,43.74312897035097,"{""coordinates"": [[-79.5928500649999, 43.74312897]], ""type"": ""MultiPoint""}"
10,GO-2004301868,1078290000000,2004,March,3,Wednesday,63,D54,Shooting,058,Old East York (58),058,Old East York (58),-79.32876583459874,43.69593780709113,"{""coordinates"": [[-79.328765835, 43.6959378070001]], ""type"": ""MultiPoint""}"
